log_file,date,compute_system,file_system,application,shared_or_fpp,read_or_write,md5
crusher_hacc_io_write_id1024637_2-14-81836-10077274615638555416_2.darshan,2017-02-14,mira,mira-fs1,hacc_io_write,fpp,write,bab09c8a554e4aed0b5dd5788c2e4535
crusher_vpicio_uni_id1024637_2-14-82009-3377074764911671242_1.darshan,2017-02-14,mira,mira-fs1,vpicio_uni,shared,write,59637ee82e80fa13c6a39ffb792051cd
crusher_ior_id1024637_2-14-82075-2145974188792946052_1.darshan,2017-02-14,mira,mira-fs1,ior,shared,read,732fcbb69010c3907f2b93c538520c15
crusher_ior_id1024637_2-14-82226-14675406745448278975_2.darshan,2017-02-14,mira,mira-fs1,ior,fpp,read,d2ee3ffa765bda8dcbcba5b930f289de
crusher_hacc_io_read_id1024637_2-14-82295-3184289310718513760_2.darshan,2017-02-14,mira,mira-fs1,hacc_io_read,fpp,read,ef65ee91eb3152d4000bba5052b3efd0
crusher_dbscan_read_id1024637_2-14-82514-11164491253330299334_1.darshan,2017-02-14,mira,mira-fs1,dbscan_read,shared,read,42e9a099130bb13834137e6773c4e1eb
glock_ior_id3906633_2-14-63024-14939811182217632593_1.darshan,2017-02-14,edison,scratch1,ior,shared,write,86937032312e5f7f5809685f2246b77e
glock_ior_id3906633_2-14-63150-5249002465030701984_1.darshan,2017-02-14,edison,scratch1,ior,fpp,write,15eac6c176c0d4cd00593dd02f6473ed
glock_ior_id3906633_2-14-63246-7768612016285328777_1.darshan,2017-02-14,edison,scratch1,ior,shared,read,1c5ec9765c12c6637d244c95b894d945
glock_ior_id3906634_2-14-63272-14037206923421251781_1.darshan,2017-02-14,edison,scratch2,ior,shared,write,4a09063eb21da8850b8a81257eb6efe2
glock_ior_id3906633_2-14-63312-8602203151679346007_1.darshan,2017-02-14,edison,scratch1,ior,fpp,read,4e08d7c1393cf7a564c8ccf47569b844
glock_ior_id3906634_2-14-63329-11318768224042770714_1.darshan,2017-02-14,edison,scratch2,ior,fpp,write,8300c151b9c2af4fc33b0ca3fa4d95a9
glock_hacc_io_write_id3906633_2-14-63402-7866197401461998863_1.darshan,2017-02-14,edison,scratch1,hacc_io_write,fpp,write,0bf3da51fcf5a7761157f1924e12e8ab
glock_ior_id3906634_2-14-63427-10551430220155908454_1.darshan,2017-02-14,edison,scratch2,ior,shared,read,54e8baa03f3a2b0f64bbeada15d317ee
glock_ior_id3906634_2-14-63490-10823873048587601637_1.darshan,2017-02-14,edison,scratch2,ior,fpp,read,b9f57e86bb658d7c8a16f67c2fa2536d
glock_hacc_io_read_id3906633_2-14-63496-10529184093925942241_1.darshan,2017-02-14,edison,scratch1,hacc_io_read,fpp,read,4028d602d6c0229f376b2e66e828e9cc
glock_ior_id3758347_2-14-63543-5894775683049802026_1.darshan,2017-02-14,cori,cscratch,ior,shared,write,4d6d213a20a6f779b54416abfde4d839
glock_hacc_io_write_id3906634_2-14-63566-15936105370696115765_1.darshan,2017-02-14,edison,scratch2,hacc_io_write,fpp,write,5385d877049f4fb4ba3c2ee8b8ae75ee
glock_vpicio_uni_id3906633_2-14-63591-3139808864464850914_1.darshan,2017-02-14,edison,scratch1,vpicio_uni,shared,write,81c88d09b448b428639b86d5fd4a3dec
glock_ior_id3758347_2-14-63629-3146096038546286624_2.darshan,2017-02-14,cori,cscratch,ior,fpp,write,a22bce7a0d01fa5c48f9e6a7fe4113a6
glock_ior_id3758347_2-14-63660-4344929120036964632_1.darshan,2017-02-14,cori,bb-shared,ior,shared,write,f21b69898d10fd96e67dc8db4b49011f
glock_hacc_io_read_id3906634_2-14-63666-12894802103341592916_1.darshan,2017-02-14,edison,scratch2,hacc_io_read,fpp,read,b96ff937e90758b819afc7ec2e737348
glock_dbscan_read_id3906633_2-14-63678-12052585210404379059_1.darshan,2017-02-14,edison,scratch1,dbscan_read,shared,read,66a5a8b3a25a28a02c1c795706d94e3b
glock_ior_id3758347_2-14-63705-13363923415777155079_2.darshan,2017-02-14,cori,bb-private,ior,fpp,write,dada172c2fa5fab412f466c2e6c772d8
glock_vpicio_uni_id3906634_2-14-63743-10287245685586132146_1.darshan,2017-02-14,edison,scratch2,vpicio_uni,shared,write,e9c0c49f5ff0a7d50ccbee2356dd4b6d
glock_ior_id3906635_2-14-63758-3759207140002584120_1.darshan,2017-02-14,edison,scratch3,ior,shared,write,4081e8ba970a0cfcdb61119ecfd89389
glock_ior_id3906635_2-14-63802-17698811494343902150_1.darshan,2017-02-14,edison,scratch3,ior,fpp,write,95fe457f5ee74fc314d32a5f0d42b0cb
glock_ior_id3758347_2-14-63838-4116295337658588511_2.darshan,2017-02-14,cori,cscratch,ior,fpp,read,e1db1c78cde891f5dc772f151acd539c
glock_ior_id3906635_2-14-63866-10087075687603686954_1.darshan,2017-02-14,edison,scratch3,ior,shared,read,29341c19e06786a9b7ab492ded2f8e2c
glock_dbscan_read_id3906634_2-14-63879-3899609787357952986_1.darshan,2017-02-14,edison,scratch2,dbscan_read,shared,read,ecb677f4e7dc9693653c6acb848c0019
glock_ior_id3758347_2-14-63882-12000608599292876557_1.darshan,2017-02-14,cori,bb-shared,ior,shared,read,5e8e7b768c129e33fe2744b76320b262
glock_ior_id3906635_2-14-63903-2753770512611907272_1.darshan,2017-02-14,edison,scratch3,ior,fpp,read,252d34e5f1d540c6f6b09875596d8843
glock_hacc_io_write_id3906635_2-14-63961-15956531934758172281_1.darshan,2017-02-14,edison,scratch3,hacc_io_write,fpp,write,438f04d33146ed4e14aa1243eec218d9
glock_ior_id3758347_2-14-63962-6848857364938135110_2.darshan,2017-02-14,cori,bb-private,ior,fpp,read,ed3343185e1969e8f8381862d2a1b402
glock_hacc_io_write_id3758347_2-14-63986-5374533416875089598_2.darshan,2017-02-14,cori,cscratch,hacc_io_write,fpp,write,9403ea7c274c584c4f2473b7509da4c1
glock_hacc_io_write_id3758347_2-14-64021-14029177136411941935_1.darshan,2017-02-14,cori,bb-shared,hacc_io_write,fpp,write,e845fbe9acde71dbfc298651c3ba580a
glock_hacc_io_read_id3906635_2-14-64027-563071420159628136_1.darshan,2017-02-14,edison,scratch3,hacc_io_read,fpp,read,bf7d091dcc1a63881a4bc1ee4c922801
glock_hacc_io_write_id3758347_2-14-64052-4481130856680288653_2.darshan,2017-02-14,cori,bb-private,hacc_io_write,fpp,write,59e065bb59e2ee12a82ada74892466ba
glock_hacc_io_read_id3758347_2-14-64081-18288874334752766521_2.darshan,2017-02-14,cori,cscratch,hacc_io_read,fpp,read,7d0f040811902c1f2e454ef380c01fe8
glock_vpicio_uni_id3906635_2-14-64089-3899282731599003123_1.darshan,2017-02-14,edison,scratch3,vpicio_uni,shared,write,43d860ea8c0b932308ea459d4fe34d8f
glock_hacc_io_read_id3758347_2-14-64121-7079544397595471196_1.darshan,2017-02-14,cori,bb-shared,hacc_io_read,fpp,read,50a2edaf9173770e0dbf8e22bb80d893
glock_hacc_io_read_id3758347_2-14-64153-6818149001040954191_2.darshan,2017-02-14,cori,bb-private,hacc_io_read,fpp,read,f9c0947c590a1ed44a85f1061023fdf3
glock_dbscan_read_id3906635_2-14-64167-9857951614036428582_1.darshan,2017-02-14,edison,scratch3,dbscan_read,shared,read,01dd2f91dd75f03935625841d6e9bbcb
glock_vpicio_uni_id3758347_2-14-64184-12598897167527333462_1.darshan,2017-02-14,cori,cscratch,vpicio_uni,shared,write,f2c14daae409fbb0d98a91bde582cddf
glock_vpicio_uni_id3758347_2-14-64494-13822319171606635604_1.darshan,2017-02-14,cori,bb-shared,vpicio_uni,shared,write,b8915c0cb71a7d161912a5983a6213b4
glock_dbscan_read_id3758347_2-14-64540-2584133533622922829_1.darshan,2017-02-14,cori,cscratch,dbscan_read,shared,read,1453a228afbc2c926ed365890327c1ce
glock_dbscan_read_id3758347_2-14-64600-456860467072400521_1.darshan,2017-02-14,cori,bb-shared,dbscan_read,shared,read,5fb572b7b080b4b7226be1b2eabd6ab0
glock_ior_id3777086_2-15-45813-3399582363453960898_1.darshan,2017-02-15,cori,cscratch,ior,shared,write,1bec8d14edbb8a2e8ef2fd7c39577090
glock_ior_id3777086_2-15-45890-11226781025762934442_3.darshan,2017-02-15,cori,cscratch,ior,fpp,write,6e42b7937ad001489bd98a7a42355e7c
glock_ior_id3930036_2-15-45921-5563049287738553180_1.darshan,2017-02-15,edison,scratch1,ior,shared,write,ba953e101d2c0d108034e5015a8f9a33
glock_ior_id3777086_2-15-45954-1163467633282463083_1.darshan,2017-02-15,cori,bb-shared,ior,shared,write,b56bcf2c26d4ad4b1afc9a9f370ce555
glock_ior_id3777086_2-15-46008-6354021011247237817_2.darshan,2017-02-15,cori,bb-private,ior,fpp,write,d3d80eb3ec5e7376e075190aafac97ec
glock_ior_id3930036_2-15-46022-5833261099868643969_1.darshan,2017-02-15,edison,scratch1,ior,fpp,write,ef26855eebe5ddf087937088bfb23ed1
glock_ior_id3930037_2-15-46045-7392385315780613793_1.darshan,2017-02-15,edison,scratch2,ior,shared,write,70f795b5f246b69d6d060b77118f4b9e
glock_ior_id3777086_2-15-46088-9755921244743253446_3.darshan,2017-02-15,cori,cscratch,ior,fpp,read,0aedb97d188809756ce8a8d49abbfa22
glock_ior_id3930036_2-15-46112-5988312376329591561_1.darshan,2017-02-15,edison,scratch1,ior,shared,read,90c1d0f60a190a10e4e751e4a7f0301b
glock_ior_id3777086_2-15-46156-5223191464679167581_1.darshan,2017-02-15,cori,bb-shared,ior,shared,read,e19702020c3e8122480d7461b6664cba
glock_ior_id3930036_2-15-46186-17904023567511717226_1.darshan,2017-02-15,edison,scratch1,ior,fpp,read,a850682090ac55868bd996a1a3cd472a
glock_ior_id3777086_2-15-46207-18388665886869382668_2.darshan,2017-02-15,cori,bb-private,ior,fpp,read,3566a6b5205a7689d740f2e4c40851a7
glock_ior_id3930037_2-15-46213-18111883355707214279_1.darshan,2017-02-15,edison,scratch2,ior,fpp,write,b2a8178b3c40ee4f8db457e0b9c19fc5
